id,loan_amnt,term,annual_inc,purpose,home_ownership,outcome
id0,7875,36 months,40000,credit_card,MORTGAGE,paid off
id1,9325,36 months,47000,debt_consolidation,MORTGAGE,paid off
id2,10600,36 months,28264,debt_consolidation,RENT,paid off
id3,6000,36 months,65000,debt_consolidation,RENT,paid off
id4,7900,36 months,22000,debt_consolidation,RENT,paid off
id5,8400,36 months,43200,debt_consolidation,MORTGAGE,paid off
id6,18000,36 months,72000,debt_consolidation,RENT,paid off
id7,2400,36 months,30000,other,MORTGAGE,paid off
id8,10000,36 months,90000,debt_consolidation,RENT,paid off
id9,20000,36 months,88000,debt_consolidation,RENT,paid off
id10,15000,36 months,90000,other,MORTGAGE,paid off
id11,18950,36 months,72000,other,MORTGAGE,paid off
id12,35000,36 months,204000,home_improvement,MORTGAGE,paid off
id13,20000,60 months,60000,debt_consolidation,RENT,paid off
id14,14000,36 months,105000,credit_card,RENT,paid off
id15,12000,60 months,110000,credit_card,MORTGAGE,paid off
id16,8000,36 months,80000,credit_card,RENT,paid off
id17,7000,36 months,88000,debt_consolidation,MORTGAGE,paid off
id18,18000,60 months,240000,home_improvement,MORTGAGE,paid off
id19,15850,36 months,36000,debt_consolidation,RENT,paid off
id20,4000,36 months,41985,debt_consolidation,RENT,paid off
id21,12000,36 months,41150,credit_card,MORTGAGE,paid off
id22,16000,36 months,63400,debt_consolidation,RENT,paid off
id23,1275,36 months,20400,debt_consolidation,OWN,paid off
id24,9600,36 months,75689,credit_card,MORTGAGE,paid off
id25,25000,36 months,86000,credit_card,RENT,paid off
id26,3600,36 months,40212,debt_consolidation,RENT,paid off
id27,7475,36 months,51000,credit_card,RENT,paid off
id28,5000,36 months,90000,debt_consolidation,MORTGAGE,paid off
id29,9000,36 months,70000,debt_consolidation,MORTGAGE,paid off
id30,12000,36 months,60000,debt_consolidation,RENT,paid off
id31,6000,36 months,85000,debt_consolidation,OWN,paid off
id32,20375,36 months,55403,credit_card,MORTGAGE,paid off
id33,35000,60 months,84000,debt_consolidation,MORTGAGE,paid off
id34,7200,36 months,157000,credit_card,MORTGAGE,paid off
id35,5000,36 months,112000,debt_consolidation,MORTGAGE,paid off
id36,8000,36 months,75000,medical,RENT,paid off
id37,6250,60 months,43500,credit_card,MORTGAGE,paid off
id38,7200,36 months,30000,debt_consolidation,RENT,paid off
id39,2425,36 months,80004,home_improvement,OWN,paid off
id40,13925,36 months,48000,debt_consolidation,MORTGAGE,paid off
id41,6000,36 months,40322,wedding,RENT,paid off
id42,6000,36 months,35000,other,RENT,paid off
id43,21000,60 months,104000,debt_consolidation,MORTGAGE,paid off
id44,8000,36 months,50000,debt_consolidation,RENT,paid off
id45,12400,36 months,67000,debt_consolidation,RENT,paid off
id46,8400,36 months,50000,debt_consolidation,RENT,paid off
id47,10000,36 months,36000,debt_consolidation,RENT,paid off
id48,14300,36 months,50000,debt_consolidation,RENT,paid off
id49,4600,36 months,82000,debt_consolidation,RENT,paid off
id50,12000,36 months,65000,debt_consolidation,MORTGAGE,paid off
id51,5000,60 months,60000,car,MORTGAGE,paid off
id52,12300,36 months,80000,debt_consolidation,RENT,paid off
id53,5000,36 months,111740,vacation,MORTGAGE,paid off
id54,8450,36 months,25000,small_business,OWN,paid off
id55,4000,36 months,30000,debt_consolidation,RENT,paid off
id56,1800,36 months,22584,other,RENT,paid off
id57,3500,36 months,50000,credit_card,RENT,paid off
id58,6000,36 months,60000,medical,RENT,paid off
id59,20000,60 months,52000,debt_consolidation,OWN,paid off
id60,18000,60 months,106000,debt_consolidation,MORTGAGE,paid off
id61,15000,36 months,60000,debt_consolidation,RENT,paid off
id62,1000,36 months,200000,credit_card,MORTGAGE,paid off
id63,8000,60 months,38176,debt_consolidation,MORTGAGE,paid off
id64,17875,36 months,40000,credit_card,MORTGAGE,paid off
id65,12000,36 months,45000,debt_consolidation,MORTGAGE,paid off
id66,27250,36 months,63200,credit_card,MORTGAGE,paid off
id67,6000,36 months,50500,debt_consolidation,MORTGAGE,paid off
id68,35000,36 months,170000,credit_card,MORTGAGE,paid off
id69,7800,36 months,110000,debt_consolidation,OWN,paid off
id70,8000,36 months,30000,debt_consolidation,RENT,paid off
id71,4625,36 months,68000,debt_consolidation,RENT,paid off
id72,6000,36 months,37000,debt_consolidation,MORTGAGE,paid off
id73,5500,36 months,75000,debt_consolidation,RENT,paid off
id74,30000,36 months,125000,small_business,RENT,paid off
id75,8050,36 months,22526,credit_card,OWN,paid off
id76,7400,36 months,19000,debt_consolidation,OWN,paid off
id77,4950,36 months,35000,other,MORTGAGE,paid off
id78,3125,36 months,20400,debt_consolidation,RENT,paid off
id79,18000,60 months,70000,debt_consolidation,MORTGAGE,paid off
id80,20000,36 months,98500,debt_consolidation,MORTGAGE,paid off
id81,20000,36 months,109000,home_improvement,MORTGAGE,paid off
id82,7425,36 months,65000,debt_consolidation,MORTGAGE,paid off
id83,7200,36 months,49000,credit_card,OWN,paid off
id84,16000,36 months,38000,home_improvement,RENT,paid off
id85,1750,36 months,30000,debt_consolidation,RENT,paid off
id86,35000,60 months,250000,other,MORTGAGE,paid off
id87,12000,60 months,28000,credit_card,MORTGAGE,paid off
id88,15200,36 months,50000,debt_consolidation,RENT,paid off
id89,16000,36 months,60000,debt_consolidation,MORTGAGE,paid off
id90,6000,36 months,14880,other,RENT,paid off
id91,7500,36 months,27000,debt_consolidation,RENT,paid off
id92,21000,60 months,128000,debt_consolidation,MORTGAGE,paid off
id93,25000,60 months,105500,debt_consolidation,MORTGAGE,paid off
id94,6000,36 months,51996,other,OWN,paid off
id95,14000,36 months,220000,other,RENT,paid off
id96,4000,36 months,26004,debt_consolidation,MORTGAGE,paid off
id97,17625,36 months,90000,debt_consolidation,RENT,paid off
id98,12500,36 months,130000,credit_card,OWN,paid off
id99,7000,36 months,62400,debt_consolidation,MORTGAGE,paid off
id100,10000,36 months,75000,credit_card,RENT,paid off
id101,3000,36 months,72000,other,RENT,paid off
id102,16000,36 months,79000,debt_consolidation,RENT,paid off
id103,24000,36 months,109000,debt_consolidation,MORTGAGE,paid off
id104,10000,36 months,96000,home_improvement,MORTGAGE,paid off
id105,10000,36 months,100000,credit_card,MORTGAGE,paid off
id106,28200,60 months,54000,debt_consolidation,MORTGAGE,paid off
id107,11200,36 months,68000,debt_consolidation,RENT,paid off
id108,4800,60 months,105996,major_purchase,MORTGAGE,paid off
id109,12000,36 months,76000,debt_consolidation,MORTGAGE,paid off
id110,14500,60 months,91728,debt_consolidation,MORTGAGE,paid off
id111,7500,36 months,60000,other,MORTGAGE,paid off
id112,10000,36 months,70000,home_improvement,MORTGAGE,paid off
id113,12000,36 months,75000,other,MORTGAGE,paid off
id114,14000,36 months,85000,credit_card,MORTGAGE,paid off
id115,10000,36 months,57000,debt_consolidation,MORTGAGE,paid off
id116,3000,36 months,48000,debt_consolidation,RENT,paid off
id117,28000,36 months,98000,debt_consolidation,RENT,paid off
id118,4800,36 months,55000,debt_consolidation,MORTGAGE,paid off
id119,25000,60 months,62000,debt_consolidation,MORTGAGE,paid off
id120,12000,36 months,94100,debt_consolidation,MORTGAGE,paid off
id121,26325,60 months,60000,debt_consolidation,MORTGAGE,paid off
id122,13500,36 months,201000,debt_consolidation,RENT,paid off
id123,12500,36 months,50000,credit_card,RENT,paid off
id124,25000,36 months,94000,other,OWN,paid off
id125,5000,36 months,42996,home_improvement,RENT,paid off
id126,7000,36 months,36000,debt_consolidation,MORTGAGE,paid off
id127,15000,36 months,130000,credit_card,RENT,paid off
id128,8400,36 months,43480,credit_card,RENT,paid off
id129,15000,36 months,125000,debt_consolidation,MORTGAGE,paid off
id130,20000,36 months,90000,credit_card,MORTGAGE,paid off
id131,32875,36 months,83000,other,MORTGAGE,paid off
id132,35000,36 months,73440,debt_consolidation,OWN,paid off
id133,8400,36 months,131000,medical,MORTGAGE,paid off
id134,23650,60 months,90000,debt_consolidation,MORTGAGE,paid off
id135,35000,36 months,160000,debt_consolidation,MORTGAGE,paid off
id136,10000,36 months,78000,debt_consolidation,RENT,paid off
id137,8000,36 months,90000,wedding,MORTGAGE,paid off
id138,15000,60 months,55000,credit_card,RENT,paid off
id139,4800,36 months,52000,debt_consolidation,OWN,paid off
id140,10000,36 months,45000,debt_consolidation,RENT,paid off
id141,16000,36 months,65000,debt_consolidation,OWN,paid off
id142,15600,36 months,48000,debt_consolidation,RENT,paid off
id143,19000,36 months,39600,other,RENT,paid off
id144,14000,36 months,96600,home_improvement,MORTGAGE,paid off
id145,2500,36 months,30000,major_purchase,OWN,paid off
id146,14000,36 months,60000,debt_consolidation,RENT,paid off
id147,7000,36 months,68000,credit_card,RENT,paid off
id148,2000,36 months,44619,other,RENT,paid off
id149,7000,36 months,88000,debt_consolidation,MORTGAGE,paid off
id150,7800,36 months,63731,credit_card,MORTGAGE,paid off
id151,12000,36 months,58981,credit_card,OWN,paid off
id152,15000,36 months,59000,debt_consolidation,MORTGAGE,paid off
id153,10000,36 months,105185,moving,MORTGAGE,paid off
id154,20000,36 months,105000,debt_consolidation,RENT,paid off
id155,15600,60 months,70000,major_purchase,OWN,paid off
id156,7000,60 months,42000,debt_consolidation,MORTGAGE,paid off
id157,13650,36 months,40000,debt_consolidation,MORTGAGE,paid off
id158,6600,36 months,42000,credit_card,RENT,paid off
id159,5800,36 months,24000,house,RENT,paid off
id160,22325,60 months,45000,house,RENT,paid off
id161,12000,36 months,77000,debt_consolidation,MORTGAGE,paid off
id162,19000,36 months,65000,debt_consolidation,MORTGAGE,paid off
id163,21250,36 months,52000,debt_consolidation,MORTGAGE,paid off
id164,9600,36 months,45000,debt_consolidation,RENT,paid off
id165,16000,36 months,84000,credit_card,RENT,paid off
id166,26000,60 months,65000,credit_card,RENT,paid off
id167,12000,36 months,68000,debt_consolidation,RENT,paid off
id168,10800,36 months,40000,debt_consolidation,MORTGAGE,paid off
id169,9000,36 months,67000,debt_consolidation,RENT,paid off
id170,15900,36 months,56500,debt_consolidation,RENT,paid off
id171,15600,36 months,40000,debt_consolidation,RENT,paid off
id172,15800,60 months,31200,wedding,RENT,paid off
id173,13475,36 months,41000,debt_consolidation,RENT,paid off
id174,12000,36 months,55500,debt_consolidation,RENT,paid off
id175,10625,36 months,32000,debt_consolidation,RENT,paid off
id176,20000,36 months,61000,debt_consolidation,MORTGAGE,paid off
id177,10000,36 months,49000,debt_consolidation,MORTGAGE,paid off
id178,3000,36 months,75000,credit_card,MORTGAGE,paid off
id179,12000,36 months,77100,debt_consolidation,RENT,paid off
id180,12000,60 months,35800,credit_card,RENT,paid off
id181,33950,36 months,125000,debt_consolidation,RENT,paid off
id182,29700,60 months,70000,debt_consolidation,MORTGAGE,paid off
id183,14000,36 months,70000,credit_card,MORTGAGE,paid off
id184,4000,36 months,27000,debt_consolidation,RENT,paid off
id185,18650,36 months,50000,debt_consolidation,MORTGAGE,paid off
id186,8950,36 months,25000,debt_consolidation,RENT,paid off
id187,12000,36 months,55000,debt_consolidation,RENT,paid off
id188,9600,36 months,24000,debt_consolidation,RENT,paid off
id189,24700,36 months,73100,house,MORTGAGE,paid off
id190,3500,36 months,65000,debt_consolidation,OWN,paid off
id191,3600,36 months,57000,home_improvement,RENT,paid off
id192,19750,36 months,52000,house,OWN,paid off
id193,6000,36 months,172000,debt_consolidation,MORTGAGE,paid off
id194,12000,36 months,36000,credit_card,RENT,paid off
id195,5000,36 months,75000,debt_consolidation,RENT,paid off
id196,20000,36 months,83000,debt_consolidation,MORTGAGE,paid off
id197,7000,36 months,30000,credit_card,MORTGAGE,paid off
id198,8875,60 months,30000,debt_consolidation,MORTGAGE,paid off
id199,11000,36 months,22000,debt_consolidation,RENT,paid off
id200,14400,36 months,50000,debt_consolidation,OWN,paid off
id201,18000,36 months,334000,debt_consolidation,OWN,paid off
id202,20000,36 months,45000,credit_card,RENT,paid off
id203,3000,36 months,50000,moving,RENT,paid off
id204,14725,36 months,82000,debt_consolidation,MORTGAGE,paid off
id205,24000,36 months,101000,home_improvement,OWN,paid off
id206,2500,36 months,55000,major_purchase,RENT,paid off
id207,21250,60 months,56000,debt_consolidation,MORTGAGE,paid off
id208,2000,36 months,35000,moving,RENT,paid off
id209,6000,36 months,65000,debt_consolidation,RENT,paid off
id210,12000,36 months,75000,debt_consolidation,MORTGAGE,paid off
id211,6000,36 months,120000,major_purchase,MORTGAGE,paid off
id212,14400,36 months,72000,credit_card,RENT,paid off
id213,10000,36 months,35000,debt_consolidation,RENT,paid off
id214,3000,36 months,58000,home_improvement,MORTGAGE,paid off
id215,14000,36 months,125000,debt_consolidation,MORTGAGE,paid off
id216,9600,36 months,35000,credit_card,RENT,paid off
id217,6150,36 months,124000,debt_consolidation,MORTGAGE,paid off
id218,9600,36 months,70000,debt_consolidation,RENT,paid off
id219,9450,36 months,95000,house,RENT,paid off
id220,10000,36 months,145000,credit_card,MORTGAGE,paid off
id221,6000,36 months,45000,debt_consolidation,MORTGAGE,paid off
id222,29175,60 months,65000,home_improvement,MORTGAGE,paid off
id223,11975,60 months,40000,debt_consolidation,MORTGAGE,paid off
id224,16800,36 months,78500,credit_card,MORTGAGE,paid off
id225,11200,36 months,110000,other,RENT,paid off
id226,7200,36 months,48000,major_purchase,RENT,paid off
id227,6000,36 months,90000,credit_card,MORTGAGE,paid off
id228,15000,36 months,45000,debt_consolidation,MORTGAGE,paid off
id229,35000,36 months,120000,debt_consolidation,MORTGAGE,paid off
id230,8825,36 months,50000,debt_consolidation,RENT,paid off
id231,7800,36 months,62000,home_improvement,MORTGAGE,paid off
id232,12000,60 months,42000,wedding,RENT,paid off
id233,10350,36 months,68250,credit_card,RENT,paid off
id234,2000,36 months,57000,credit_card,MORTGAGE,paid off
id235,10000,36 months,54000,debt_consolidation,RENT,paid off
id236,20950,36 months,84000,credit_card,MORTGAGE,paid off
id237,5600,36 months,50000,other,RENT,paid off
id238,8000,36 months,49000,debt_consolidation,MORTGAGE,paid off
id239,15000,36 months,52000,home_improvement,MORTGAGE,paid off
id240,4000,36 months,54000,debt_consolidation,RENT,paid off
id241,9600,36 months,53000,debt_consolidation,MORTGAGE,paid off
id242,20000,36 months,82000,major_purchase,MORTGAGE,paid off
id243,3600,36 months,80000,wedding,RENT,paid off
id244,26300,60 months,101516,debt_consolidation,RENT,paid off
id245,28000,36 months,93000,credit_card,MORTGAGE,paid off
id246,25000,36 months,156600,debt_consolidation,MORTGAGE,paid off
id247,22000,36 months,233000,major_purchase,MORTGAGE,paid off
id248,35000,36 months,88000,other,RENT,paid off
id249,8400,36 months,68000,medical,MORTGAGE,paid off
id250,7000,36 months,120000,other,MORTGAGE,paid off
id251,14200,36 months,68000,debt_consolidation,RENT,paid off
id252,8000,36 months,77400,credit_card,MORTGAGE,paid off
id253,8000,36 months,38000,credit_card,RENT,paid off
id254,4500,36 months,40000,home_improvement,MORTGAGE,paid off
id255,3000,36 months,52000,debt_consolidation,MORTGAGE,paid off
id256,24000,36 months,100000,small_business,RENT,paid off
id257,10000,36 months,71000,credit_card,OWN,paid off
id258,11500,36 months,60000,other,OWN,paid off
id259,8000,36 months,40000,debt_consolidation,RENT,paid off
id260,9000,36 months,42500,debt_consolidation,MORTGAGE,paid off
id261,5000,36 months,35000,small_business,RENT,paid off
id262,9600,36 months,50000,home_improvement,MORTGAGE,paid off
id263,35000,60 months,150000,debt_consolidation,MORTGAGE,paid off
